city,area,rooms,bathroom,parking spaces
Rio de Janeiro,140,3,3,1
São Paulo,380,4,1,0
Porto Alegre,140,2,2,1
São Paulo,520,3,4,3
São Paulo,130,3,2,3
São Paulo,49,1,1,1
Rio de Janeiro,28,1,1,0
Campinas,58,2,1,1
São Paulo,32,1,1,1
São Paulo,48,2,1,1
São Paulo,30,1,1,0
São Paulo,26,1,1,0
Rio de Janeiro,65,2,1,0
São Paulo,98,3,2,2
São Paulo,234,3,4,4
Campinas,59,2,1,1
São Paulo,97,2,3,1
Belo Horizonte,65,2,2,1
Porto Alegre,42,1,1,1
Rio de Janeiro,94,3,2,1
Belo Horizonte,147,4,2,3
São Paulo,73,3,2,2
Rio de Janeiro,40,1,1,0
São Paulo,350,3,5,5
São Paulo,384,3,3,4
São Paulo,48,1,1,2
Rio de Janeiro,96,3,2,1
Porto Alegre,55,2,1,0
Porto Alegre,330,4,4,3
Porto Alegre,49,1,1,0
Rio de Janeiro,170,3,2,1
São Paulo,243,2,3,2
São Paulo,216,4,4,3
Rio de Janeiro,60,2,1,1
São Paulo,200,3,4,2
Porto Alegre,48,1,1,0
Campinas,130,3,2,6
Rio de Janeiro,55,2,1,1
São Paulo,200,4,3,2
Campinas,101,3,2,2
São Paulo,20,1,1,0
São Paulo,97,3,3,2
São Paulo,83,2,2,1
Porto Alegre,47,1,1,1
São Paulo,110,2,2,1
São Paulo,140,4,4,2
São Paulo,242,3,4,3
São Paulo,35,1,1,0
Rio de Janeiro,100,2,2,0
São Paulo,134,3,3,1
Porto Alegre,50,2,1,1
Campinas,67,3,1,1
São Paulo,150,2,3,0
São Paulo,174,3,4,3
São Paulo,120,3,3,1
Porto Alegre,90,4,2,0
São Paulo,16,1,1,0
Campinas,110,3,1,1
São Paulo,277,2,3,4
São Paulo,79,3,1,1
Belo Horizonte,180,4,3,2
São Paulo,300,3,3,2
São Paulo,270,2,3,4
Porto Alegre,25,1,1,0
São Paulo,78,1,1,1
São Paulo,82,2,2,1
Belo Horizonte,55,2,1,2
São Paulo,420,4,5,4
Campinas,115,2,3,2
Belo Horizonte,45,2,1,1
São Paulo,47,3,1,1
São Paulo,250,3,3,2
Rio de Janeiro,95,3,2,1
Rio de Janeiro,54,2,2,1
Belo Horizonte,200,3,2,2
São Paulo,380,3,3,5
Rio de Janeiro,60,2,2,0
São Paulo,300,3,3,2
Belo Horizonte,75,3,1,1
Belo Horizonte,32,1,1,1
Rio de Janeiro,24,1,1,0
São Paulo,49,1,1,1
Porto Alegre,50,2,1,0
Rio de Janeiro,40,1,1,0
São Paulo,30,1,1,1
São Paulo,70,2,1,1
Campinas,146,2,1,1
Rio de Janeiro,120,2,2,0
Campinas,67,3,1,1
Belo Horizonte,347,4,4,3
Belo Horizonte,80,2,2,1
São Paulo,40,2,1,0
Campinas,44,2,1,1
São Paulo,80,2,1,0
Porto Alegre,106,3,3,1
Campinas,137,3,4,2
São Paulo,248,3,4,4
São Paulo,350,4,3,2
Rio de Janeiro,90,2,1,2
São Paulo,16,1,1,0
São Paulo,108,3,3,2
Rio de Janeiro,120,3,2,1
Campinas,54,2,1,1
São Paulo,190,1,2,10
Belo Horizonte,100,3,3,1
Belo Horizonte,120,3,2,1
São Paulo,40,1,1,1
São Paulo,185,2,2,2
Rio de Janeiro,50,1,1,0
São Paulo,233,3,6,5
São Paulo,47,2,2,2
São Paulo,49,1,1,0
Porto Alegre,76,3,2,2
Rio de Janeiro,60,2,1,0
São Paulo,200,4,5,3
Rio de Janeiro,200,3,4,2
Porto Alegre,184,3,3,2
São Paulo,117,3,4,2
Porto Alegre,80,3,1,0
Rio de Janeiro,60,2,2,1
São Paulo,140,3,2,1
Rio de Janeiro,55,1,1,0
São Paulo,131,3,2,1
São Paulo,142,3,4,3
Campinas,35,1,1,1
Porto Alegre,40,1,1,0
São Paulo,57,1,1,0
Porto Alegre,30,1,1,0
Rio de Janeiro,800,5,7,5
Porto Alegre,250,2,2,0
São Paulo,37,1,1,1
Belo Horizonte,240,4,5,3
Rio de Janeiro,95,3,2,1
São Paulo,30,1,1,0
São Paulo,380,7,7,6
São Paulo,50,2,1,0
Rio de Janeiro,32,1,1,1
São Paulo,104,3,3,2
São Paulo,31,1,1,0
São Paulo,700,4,5,2
Campinas,138,3,3,0
São Paulo,77,2,1,1
São Paulo,35,1,1,0
São Paulo,216,4,3,4
Campinas,60,2,1,1
Belo Horizonte,115,3,2,2
Belo Horizonte,222,4,3,4
Rio de Janeiro,84,3,2,1
São Paulo,156,3,3,1
São Paulo,34,1,1,0
Porto Alegre,60,2,1,1
Porto Alegre,50,2,2,1
São Paulo,210,3,3,2
São Paulo,240,4,2,4
São Paulo,336,4,6,5
Campinas,60,2,1,1
Belo Horizonte,194,3,3,2
São Paulo,70,1,1,0
São Paulo,46,1,1,0
Rio de Janeiro,185,3,2,2
São Paulo,90,1,2,2
Belo Horizonte,90,3,2,1
São Paulo,175,1,3,2
Rio de Janeiro,140,3,2,1
São Paulo,400,2,5,4
Porto Alegre,127,3,2,1
São Paulo,60,2,2,1
Belo Horizonte,230,3,3,3
São Paulo,48,1,1,1
Campinas,62,3,2,1
São Paulo,110,3,2,1
São Paulo,80,3,3,2
Rio de Janeiro,54,1,1,0
São Paulo,42,1,1,1
Belo Horizonte,55,2,1,1
São Paulo,161,3,5,3
Belo Horizonte,70,2,1,1
São Paulo,35,1,1,0
São Paulo,360,4,4,4
Belo Horizonte,45,1,1,1
São Paulo,55,1,1,0
Rio de Janeiro,25,1,1,0
Belo Horizonte,68,3,2,1
São Paulo,900,3,4,8
Porto Alegre,71,2,1,0
Rio de Janeiro,250,3,2,1
Belo Horizonte,305,4,5,5
São Paulo,81,3,2,1
São Paulo,234,3,4,4
Campinas,54,1,2,0
São Paulo,70,2,1,1
Belo Horizonte,100,3,2,1
São Paulo,48,1,1,1
Porto Alegre,88,2,2,1
São Paulo,40,1,1,0
Porto Alegre,76,1,1,0
São Paulo,109,3,2,2
Belo Horizonte,160,3,3,2
São Paulo,106,2,1,0
Rio de Janeiro,90,4,2,0
São Paulo,70,2,2,1
São Paulo,120,2,1,4
São Paulo,230,3,3,3
São Paulo,130,2,2,2
São Paulo,67,2,2,1
Campinas,140,4,3,2
Rio de Janeiro,80,3,2,0
São Paulo,40,1,1,0
Belo Horizonte,49,2,1,1
São Paulo,73,3,1,1
São Paulo,110,2,3,3
São Paulo,79,3,2,1
Belo Horizonte,40,1,1,0
São Paulo,370,4,6,0
Belo Horizonte,140,4,3,2
Rio de Janeiro,300,4,4,2
São Paulo,40,1,1,1
Rio de Janeiro,100,3,2,2
São Paulo,63,2,2,1
São Paulo,150,3,2,1
São Paulo,190,3,3,3
Rio de Janeiro,100,3,2,2
Porto Alegre,132,6,4,2
São Paulo,127,2,3,3
São Paulo,222,3,3,2
São Paulo,80,2,2,1
São Paulo,208,4,4,3
São Paulo,480,4,4,6
São Paulo,360,3,5,2
São Paulo,142,3,2,2
Rio de Janeiro,150,3,3,0
Rio de Janeiro,54,2,1,1
Rio de Janeiro,35,1,1,0
Campinas,44,2,1,1
São Paulo,130,3,2,1
Porto Alegre,70,2,2,0
São Paulo,68,2,1,0
São Paulo,212,4,3,4
Rio de Janeiro,35,1,1,1
São Paulo,116,3,2,1
São Paulo,80,1,1,0
São Paulo,47,1,1,1
Rio de Janeiro,60,3,2,1
Rio de Janeiro,75,2,1,0
Belo Horizonte,60,1,1,1
São Paulo,100,2,1,0
Belo Horizonte,22,1,1,1
São Paulo,75,3,2,1
São Paulo,75,2,3,2
Belo Horizonte,65,2,1,1
São Paulo,25,1,1,0
São Paulo,194,4,3,2
São Paulo,75,2,2,0
Belo Horizonte,51,2,1,0
São Paulo,63,2,2,2
Rio de Janeiro,90,2,2,1
São Paulo,45,2,1,1
Rio de Janeiro,85,2,2,1
Rio de Janeiro,70,2,2,1
Porto Alegre,66,2,1,0
Rio de Janeiro,45,1,1,0
Porto Alegre,114,3,2,1
Rio de Janeiro,26,1,1,0
Porto Alegre,60,1,1,2
Porto Alegre,44,1,1,0
Belo Horizonte,20,1,1,0
São Paulo,91,2,3,2
Rio de Janeiro,70,2,2,1
São Paulo,30,1,1,0
Belo Horizonte,308,4,5,4
São Paulo,90,2,2,1
São Paulo,217,3,5,6
Campinas,47,1,1,0
Rio de Janeiro,60,2,1,1
São Paulo,35,1,1,0
São Paulo,490,3,5,4
São Paulo,180,3,3,2
Porto Alegre,65,2,2,2
Porto Alegre,76,2,2,2
Campinas,56,2,1,1
São Paulo,68,1,1,0
Campinas,56,1,1,1
Rio de Janeiro,131,3,2,2
São Paulo,100,3,1,4
São Paulo,72,2,2,1
Belo Horizonte,88,3,2,1
Rio de Janeiro,38,1,1,0
São Paulo,49,2,1,1
São Paulo,60,1,1,1
São Paulo,80,2,1,1
Porto Alegre,280,5,3,3
São Paulo,510,4,3,5
São Paulo,148,1,2,4
Porto Alegre,76,3,2,1
Belo Horizonte,110,3,2,1
Belo Horizonte,22,1,1,1
São Paulo,42,1,1,1
São Paulo,59,2,1,1
São Paulo,158,4,4,4
Belo Horizonte,65,2,2,1
São Paulo,20,1,1,0
São Paulo,298,4,4,1
Rio de Janeiro,38,1,1,0
São Paulo,213,4,4,3
São Paulo,150,3,2,3
Rio de Janeiro,60,1,1,0
São Paulo,65,2,1,1
São Paulo,169,4,4,4
São Paulo,100,2,3,1
São Paulo,158,4,4,3
São Paulo,150,2,2,2
Porto Alegre,49,2,1,0
São Paulo,260,4,4,4
Rio de Janeiro,65,1,1,1
São Paulo,380,6,5,3
Belo Horizonte,70,3,1,0
Campinas,180,2,1,0
Rio de Janeiro,105,2,1,0
Belo Horizonte,300,8,3,1
São Paulo,190,3,3,1
Belo Horizonte,67,2,2,2
São Paulo,96,2,2,2
Porto Alegre,75,2,2,1
Campinas,45,1,1,1
São Paulo,60,2,1,1
São Paulo,45,1,1,1
São Paulo,38,1,1,1
São Paulo,75,1,1,1
São Paulo,442,5,6,6
São Paulo,220,3,3,2
São Paulo,140,3,1,2
Belo Horizonte,76,3,2,1
Campinas,60,2,1,1
Porto Alegre,50,1,1,0
São Paulo,165,4,3,2
São Paulo,90,1,1,0
Campinas,62,2,1,1
São Paulo,120,3,2,2
Belo Horizonte,279,4,5,4
Rio de Janeiro,79,3,2,0
Rio de Janeiro,45,1,1,0
Rio de Janeiro,36,1,1,0
Campinas,47,1,1,0
Campinas,270,4,4,8
Belo Horizonte,25,1,1,0
São Paulo,45,2,1,1
São Paulo,255,4,4,3
Campinas,55,1,2,1
São Paulo,85,3,3,2
Belo Horizonte,200,3,3,2
Porto Alegre,55,2,2,0
São Paulo,180,5,5,2
Campinas,64,2,2,2
Porto Alegre,42,2,1,1
São Paulo,300,3,3,5
São Paulo,32,1,1,1
São Paulo,64,2,1,2
São Paulo,72,2,2,1
Rio de Janeiro,30,1,1,0
Porto Alegre,55,2,1,0
São Paulo,253,3,5,5
São Paulo,147,3,2,0
São Paulo,110,3,3,1
São Paulo,400,4,3,4
Porto Alegre,350,5,4,2
São Paulo,510,5,5,5
São Paulo,246,3,4,4
Campinas,92,3,4,2
São Paulo,54,2,2,1
São Paulo,130,3,2,0
Rio de Janeiro,53,2,2,1
São Paulo,59,2,1,1
Belo Horizonte,153,3,2,2
São Paulo,78,2,1,1
São Paulo,305,3,3,3
Campinas,54,1,1,1
São Paulo,80,2,2,0
São Paulo,26,1,1,0
São Paulo,96,2,1,1
Campinas,70,3,1,1
São Paulo,56,2,1,1
Belo Horizonte,320,5,3,4
São Paulo,30,1,1,0
Rio de Janeiro,45,1,1,0
Campinas,60,2,1,0
São Paulo,101,2,3,1
São Paulo,220,4,4,2
São Paulo,60,2,1,0
São Paulo,62,2,1,1
Rio de Janeiro,65,2,1,1
Porto Alegre,111,2,2,1
São Paulo,140,2,1,2
São Paulo,17,1,1,0
São Paulo,90,3,2,2
São Paulo,40,1,1,0
Rio de Janeiro,70,2,2,0
São Paulo,370,4,5,5
Porto Alegre,48,2,1,1
Belo Horizonte,130,3,2,1
São Paulo,303,3,4,4
São Paulo,150,3,4,3
São Paulo,45,1,1,1
Belo Horizonte,190,4,4,3
Belo Horizonte,250,4,4,0
Campinas,78,3,2,2
São Paulo,160,3,3,2
Rio de Janeiro,100,3,2,1
São Paulo,298,3,4,3
Porto Alegre,140,3,3,1
São Paulo,78,2,2,2
Campinas,47,1,1,1
São Paulo,80,2,1,2
São Paulo,20,1,1,0
São Paulo,60,2,1,1
Rio de Janeiro,52,1,1,0
Belo Horizonte,75,3,1,1
São Paulo,45,2,1,1
São Paulo,26,1,1,0
Belo Horizonte,120,3,2,0
São Paulo,239,4,4,4
São Paulo,22,1,1,1
São Paulo,750,7,6,5
Rio de Janeiro,148,3,2,2
Rio de Janeiro,80,2,1,0
São Paulo,76,3,1,2
São Paulo,45,1,1,1
Campinas,74,3,2,1
Porto Alegre,38,1,1,1
São Paulo,57,1,1,0
São Paulo,40,1,1,0
São Paulo,147,3,3,2
São Paulo,300,4,5,2
São Paulo,50,2,1,1
Porto Alegre,55,1,1,1
Rio de Janeiro,25,1,1,0
São Paulo,80,3,2,2
Belo Horizonte,300,2,4,3
São Paulo,680,4,5,8
São Paulo,252,4,5,5
São Paulo,208,3,3,2
Rio de Janeiro,36,1,1,0
Belo Horizonte,50,2,1,1
Rio de Janeiro,70,1,2,0
Belo Horizonte,184,5,3,2
São Paulo,100,2,2,2
Porto Alegre,73,2,1,0
Rio de Janeiro,140,3,2,1
Rio de Janeiro,240,3,2,1
São Paulo,60,2,1,1
São Paulo,170,3,3,2
Porto Alegre,59,2,1,1
Rio de Janeiro,169,3,2,1
Campinas,58,1,2,2
Campinas,110,2,1,1
São Paulo,70,2,2,0
Porto Alegre,27,1,1,0
São Paulo,200,3,2,3
Rio de Janeiro,180,3,2,2
São Paulo,33,1,1,1
São Paulo,120,2,3,0
Porto Alegre,47,1,1,1
São Paulo,470,5,4,6
Campinas,277,3,4,4
Rio de Janeiro,71,3,2,0
São Paulo,40,1,1,1
São Paulo,90,2,1,0
São Paulo,244,3,4,2
Campinas,55,1,1,1
Campinas,92,3,2,2
São Paulo,318,5,3,2
Rio de Janeiro,74,3,1,0
São Paulo,60,2,2,1
Belo Horizonte,120,3,3,1
São Paulo,30,1,1,1
São Paulo,55,1,1,1
Porto Alegre,38,1,1,0
Porto Alegre,55,3,1,0
São Paulo,182,3,2,1
Rio de Janeiro,77,2,2,1
Campinas,160,3,1,4
São Paulo,346,4,4,4
Rio de Janeiro,80,2,1,0
Campinas,88,3,2,2
Rio de Janeiro,75,2,2,1
Rio de Janeiro,120,3,2,0
Rio de Janeiro,28,1,1,0
São Paulo,29,1,1,0
Belo Horizonte,67,3,1,1
São Paulo,110,3,2,1
São Paulo,170,3,2,1
São Paulo,80,2,2,1
São Paulo,72,2,1,1
Belo Horizonte,76,1,2,2
Rio de Janeiro,126,2,2,1
São Paulo,150,1,2,2
Rio de Janeiro,40,1,1,0
São Paulo,84,3,2,3
Rio de Janeiro,100,4,4,1
São Paulo,209,3,3,0
Belo Horizonte,100,3,2,1
São Paulo,50,2,1,1
Campinas,110,3,3,2
Rio de Janeiro,23,1,1,0
São Paulo,50,1,1,0
São Paulo,68,1,2,1
Porto Alegre,86,2,1,0
São Paulo,57,2,2,1
Belo Horizonte,110,2,2,1
São Paulo,69,2,1,1
Campinas,48,1,1,1
São Paulo,240,3,5,3
Belo Horizonte,84,3,2,0
São Paulo,88,2,2,3
São Paulo,270,3,2,2
Rio de Janeiro,66,2,1,1
Rio de Janeiro,81,3,1,1
São Paulo,184,4,3,3
São Paulo,170,3,2,2
São Paulo,500,3,5,2
São Paulo,200,3,4,3
São Paulo,70,2,2,1
Belo Horizonte,155,4,5,3
São Paulo,100,3,1,0
São Paulo,198,1,1,3
São Paulo,45,2,1,0
São Paulo,40,1,1,1
Porto Alegre,30,1,1,0
São Paulo,44,1,1,1
São Paulo,98,3,2,2
Belo Horizonte,73,3,1,0
São Paulo,340,4,4,4
Porto Alegre,101,3,2,0
Rio de Janeiro,30,1,1,0
São Paulo,80,1,1,0
Rio de Janeiro,30,1,1,1
São Paulo,999,4,5,6
São Paulo,171,3,5,3
São Paulo,100,3,2,1
São Paulo,70,2,1,1
São Paulo,49,1,1,0
Belo Horizonte,62,2,2,0
São Paulo,162,4,5,3
São Paulo,260,4,4,4
Rio de Janeiro,266,4,4,2
São Paulo,250,3,5,5
São Paulo,124,3,3,2
Belo Horizonte,57,3,1,1
São Paulo,218,3,4,2
São Paulo,210,4,4,4
Porto Alegre,274,3,2,2
São Paulo,52,2,2,1
São Paulo,254,4,6,5
São Paulo,147,3,3,3
Rio de Janeiro,78,2,2,1
São Paulo,60,2,2,0
Rio de Janeiro,130,3,2,0
São Paulo,50,1,1,1
São Paulo,110,3,2,3
Rio de Janeiro,80,2,1,0
São Paulo,376,5,6,4
São Paulo,50,2,1,0
São Paulo,179,3,2,2
Campinas,163,3,5,3
Rio de Janeiro,110,3,1,1
São Paulo,330,6,4,3
São Paulo,35,1,1,0
Campinas,96,3,3,2
Belo Horizonte,90,2,3,0
São Paulo,45,1,1,0
São Paulo,130,3,1,1
Rio de Janeiro,77,2,1,0
São Paulo,35,1,1,1
São Paulo,280,3,4,4
São Paulo,24606,5,4,4
Belo Horizonte,344,4,4,3
Belo Horizonte,140,4,2,2
Belo Horizonte,95,3,4,1
Campinas,55,2,1,1
Campinas,54,1,2,0
Belo Horizonte,50,2,1,2
São Paulo,200,4,5,4
São Paulo,50,1,1,1
São Paulo,200,4,2,3
São Paulo,67,2,2,1
São Paulo,62,3,2,1
Rio de Janeiro,50,1,1,0
Porto Alegre,77,2,2,2
São Paulo,220,3,3,2
São Paulo,253,4,5,3
São Paulo,500,4,4,3
São Paulo,35,1,1,0
São Paulo,23,1,1,1
São Paulo,325,4,3,2
Porto Alegre,28,1,1,0
Rio de Janeiro,76,2,2,1
São Paulo,70,2,1,1
São Paulo,120,3,4,2
Rio de Janeiro,180,3,3,0
São Paulo,350,4,3,4
Porto Alegre,60,1,1,0
Porto Alegre,87,2,2,2
São Paulo,80,3,1,0
São Paulo,90,3,1,0
São Paulo,200,4,3,8
São Paulo,260,4,4,3
Rio de Janeiro,100,3,1,2
São Paulo,50,2,2,0
São Paulo,800,4,7,8
São Paulo,75,1,2,2
São Paulo,213,3,2,0
São Paulo,70,2,2,1
Porto Alegre,55,2,1,0
São Paulo,264,3,3,2
Belo Horizonte,66,2,1,1
Campinas,269,4,5,0
Rio de Janeiro,50,2,1,1
São Paulo,400,4,5,5
São Paulo,38,1,1,0
Rio de Janeiro,50,2,1,0
São Paulo,84,1,1,1
Campinas,40,1,1,1
São Paulo,50,1,1,0
Porto Alegre,27,1,1,0
São Paulo,90,2,2,0
Porto Alegre,50,1,1,0
São Paulo,220,3,4,1
São Paulo,106,3,3,1
São Paulo,65,2,1,2
Porto Alegre,70,2,1,1
São Paulo,260,2,3,4
Campinas,60,2,1,1
Rio de Janeiro,80,2,2,0
São Paulo,132,3,2,3
São Paulo,85,2,2,2
São Paulo,600,4,6,6
São Paulo,87,2,2,1
São Paulo,78,3,1,2
São Paulo,188,3,3,3
Rio de Janeiro,38,1,1,1
São Paulo,209,4,4,5
São Paulo,280,4,5,4
São Paulo,420,4,4,4
Belo Horizonte,68,2,1,0
Porto Alegre,46,1,1,0
Porto Alegre,63,2,1,2
São Paulo,220,3,3,3
São Paulo,150,3,4,2
São Paulo,98,2,2,2
Rio de Janeiro,119,3,3,2
Porto Alegre,40,1,1,0
Porto Alegre,110,3,1,1
São Paulo,50,2,3,0
São Paulo,25,1,1,0
São Paulo,75,2,1,1
São Paulo,50,2,1,1
Rio de Janeiro,152,4,2,1
São Paulo,330,4,2,8
São Paulo,251,3,2,2
Rio de Janeiro,120,3,3,2
São Paulo,64,1,2,2
Porto Alegre,180,3,2,1
Belo Horizonte,61,3,1,1
Campinas,62,2,1,0
São Paulo,35,1,1,1
Belo Horizonte,60,2,1,1
Porto Alegre,58,1,2,2
São Paulo,146,3,5,2
São Paulo,176,3,4,3
São Paulo,220,6,2,2
Belo Horizonte,47,2,1,1
São Paulo,30,1,1,0
São Paulo,103,3,2,0
Rio de Janeiro,600,7,6,2
Rio de Janeiro,200,4,5,3
São Paulo,34,1,1,0
São Paulo,95,2,1,1
São Paulo,215,4,4,2
Rio de Janeiro,60,2,1,1
Rio de Janeiro,145,3,2,1
São Paulo,102,3,2,2
São Paulo,44,1,1,1
São Paulo,90,2,2,0
São Paulo,180,4,3,1
Porto Alegre,123,3,3,1
São Paulo,54,2,2,1
São Paulo,50,1,1,1
São Paulo,100,2,1,1
Porto Alegre,36,1,1,1
São Paulo,92,1,2,1
São Paulo,68,2,2,1
São Paulo,94,3,3,3
Rio de Janeiro,25,1,1,0
São Paulo,60,2,2,0
São Paulo,321,5,3,5
São Paulo,116,3,4,2
São Paulo,40,1,1,0
Porto Alegre,100,3,2,2
São Paulo,70,2,1,0
São Paulo,48,1,1,1
São Paulo,115,3,5,2
São Paulo,90,1,1,1
Rio de Janeiro,89,2,2,1
Porto Alegre,30,1,1,0
Porto Alegre,39,1,1,0
São Paulo,42,1,1,1
São Paulo,400,4,5,5
São Paulo,47,1,2,1
São Paulo,124,2,2,2
Campinas,120,3,2,3
Campinas,45,1,1,0
São Paulo,270,3,2,4
São Paulo,108,3,2,1
São Paulo,128,3,4,4
Rio de Janeiro,179,4,2,0
Belo Horizonte,140,4,2,2
Belo Horizonte,27,1,1,0
São Paulo,250,3,4,2
Porto Alegre,350,4,3,3
São Paulo,208,3,2,2
São Paulo,80,3,1,0
São Paulo,34,1,1,1
São Paulo,150,4,3,0
São Paulo,127,3,3,2
São Paulo,296,4,5,2
São Paulo,61,1,1,0
São Paulo,375,4,4,3
São Paulo,370,5,4,3
Porto Alegre,30,1,1,0
São Paulo,480,5,7,5
São Paulo,33,1,1,1
Rio de Janeiro,84,3,1,0
São Paulo,340,8,5,4
Porto Alegre,97,3,3,3
Rio de Janeiro,110,3,2,1
Belo Horizonte,77,3,3,2
Rio de Janeiro,105,3,2,1
São Paulo,33,1,1,1
São Paulo,25,1,1,0
São Paulo,130,2,2,2
São Paulo,480,4,7,5
São Paulo,240,3,3,3
Rio de Janeiro,80,2,2,1
São Paulo,50,2,1,2
Belo Horizonte,32,1,1,0
Belo Horizonte,48,2,1,1
São Paulo,90,3,3,1
Rio de Janeiro,30,1,1,0
Porto Alegre,75,2,2,1
Porto Alegre,59,2,2,1
São Paulo,25,1,1,0
Campinas,140,4,3,2
São Paulo,100,2,1,1
Campinas,23,1,1,0
São Paulo,124,3,2,1
São Paulo,84,2,3,2
São Paulo,69,2,2,1
Belo Horizonte,100,3,1,0
São Paulo,70,1,2,1
Belo Horizonte,88,3,2,1
Belo Horizonte,465,7,7,2
São Paulo,90,3,2,2
São Paulo,120,3,3,1
São Paulo,277,3,4,2
São Paulo,270,4,6,3
Porto Alegre,216,3,2,1
Campinas,150,1,2,0
São Paulo,360,4,7,5
Belo Horizonte,110,2,4,2
Porto Alegre,50,2,1,1
São Paulo,98,2,2,2
São Paulo,190,3,3,3
São Paulo,35,1,1,1
São Paulo,350,3,5,3
Belo Horizonte,950,6,6,2
São Paulo,213,4,5,4
Rio de Janeiro,100,3,2,1
São Paulo,240,4,4,4
Belo Horizonte,77,2,1,1
São Paulo,217,3,4,4
São Paulo,218,4,4,3
São Paulo,31,2,1,0
São Paulo,380,4,7,7
Rio de Janeiro,40,1,2,0
São Paulo,48,1,1,1
São Paulo,55,1,1,0
São Paulo,270,3,3,3
Rio de Janeiro,80,2,3,1
Rio de Janeiro,50,1,1,0
São Paulo,38,2,1,0
Belo Horizonte,320,4,5,4
São Paulo,500,3,6,0
Rio de Janeiro,110,3,3,0
São Paulo,300,3,3,2
São Paulo,30,1,1,0
São Paulo,58,2,2,1
São Paulo,18,1,1,0
São Paulo,139,4,4,8
Rio de Janeiro,210,4,5,2
Porto Alegre,50,2,1,1
São Paulo,70,1,1,2
São Paulo,36,1,1,0
São Paulo,48,1,1,0
Belo Horizonte,92,3,2,1
Rio de Janeiro,189,3,2,0
Porto Alegre,38,1,1,1
São Paulo,351,3,4,2
Rio de Janeiro,64,2,1,1
São Paulo,31,1,1,1
São Paulo,90,3,2,2
São Paulo,40,1,1,0
São Paulo,180,3,4,4
São Paulo,64,3,1,1
São Paulo,190,3,4,3
São Paulo,400,3,3,4
Rio de Janeiro,180,4,5,3
São Paulo,73,1,1,0
São Paulo,64,2,2,2
São Paulo,65,3,1,1
São Paulo,400,4,5,4
São Paulo,48,2,1,1
São Paulo,40,1,1,1
Porto Alegre,61,2,1,0
Rio de Janeiro,85,2,1,0
Belo Horizonte,235,4,3,1
São Paulo,347,4,5,4
Rio de Janeiro,25,1,1,0
Rio de Janeiro,85,2,2,1
São Paulo,103,3,3,2
São Paulo,159,3,3,2
São Paulo,42,1,1,1
São Paulo,100,3,2,1
São Paulo,111,1,2,2
Porto Alegre,40,1,1,1
Campinas,92,3,2,3
Rio de Janeiro,480,5,6,4
Belo Horizonte,55,2,2,2
Belo Horizonte,24,1,1,1
São Paulo,50,1,1,1
Rio de Janeiro,80,2,1,0
São Paulo,230,3,2,0
Porto Alegre,72,2,1,0
Porto Alegre,90,2,1,0
Belo Horizonte,22,1,1,0
São Paulo,455,4,5,4
São Paulo,140,3,2,1
Belo Horizonte,23,1,1,1
Porto Alegre,46,1,1,0
Campinas,70,1,1,1
Belo Horizonte,150,5,3,0
Campinas,55,1,1,0
São Paulo,40,1,1,0
São Paulo,91,2,1,1
São Paulo,140,2,1,3
São Paulo,50,1,1,0
Campinas,52,2,1,1
Rio de Janeiro,100,3,1,1
São Paulo,160,4,3,3
São Paulo,50,1,1,0
Campinas,137,3,2,1
Porto Alegre,42,1,1,0
São Paulo,650,3,7,2
Rio de Janeiro,90,3,2,0
Rio de Janeiro,30,1,1,0
São Paulo,254,4,4,3
São Paulo,40,1,1,1
Rio de Janeiro,130,4,2,1
Campinas,128,3,3,2
São Paulo,78,2,1,3
Campinas,42,1,1,0
Campinas,140,3,3,2
São Paulo,46,1,1,0
Campinas,50,2,1,1
São Paulo,54,1,1,1
São Paulo,40,1,1,1
São Paulo,50,2,1,1
São Paulo,75,3,1,1
São Paulo,472,3,2,4
Porto Alegre,360,5,3,6
São Paulo,308,4,4,3
São Paulo,50,1,1,1
São Paulo,540,4,5,5
São Paulo,321,3,5,2
São Paulo,70,3,2,1
Campinas,130,3,2,2
São Paulo,170,3,2,2
São Paulo,60,2,2,1
Rio de Janeiro,45,1,1,0
Belo Horizonte,60,2,1,1
São Paulo,340,5,4,2
Porto Alegre,58,2,1,0
São Paulo,195,4,3,3
São Paulo,100,2,4,0
São Paulo,50,1,1,0
Campinas,54,2,1,1
Belo Horizonte,55,2,1,1
São Paulo,48,1,1,2
São Paulo,58,2,1,1
São Paulo,200,3,4,3
Campinas,77,3,1,2
Belo Horizonte,72,2,1,1
São Paulo,50,2,1,2
Rio de Janeiro,95,2,2,1
São Paulo,130,3,2,0
Rio de Janeiro,30,1,1,0
São Paulo,300,4,3,4
Rio de Janeiro,95,3,2,1
São Paulo,80,3,1,1
São Paulo,310,3,3,2
Porto Alegre,170,3,2,0
Rio de Janeiro,46,2,1,0
Rio de Janeiro,97,3,2,0
São Paulo,130,3,2,1
Rio de Janeiro,30,1,1,0
São Paulo,40,1,1,1
São Paulo,90,3,2,2
São Paulo,89,2,2,2
São Paulo,240,3,3,5
São Paulo,106,3,2,0
São Paulo,80,2,1,1
São Paulo,22,1,1,1
São Paulo,141,4,3,2
São Paulo,340,4,6,6
São Paulo,105,4,2,2
São Paulo,70,3,1,1
São Paulo,200,3,2,1
Campinas,62,2,1,0
São Paulo,74,2,3,2
Rio de Janeiro,333,5,4,3
